,Year,Country,Emigrants,International migrants,Net migration,Net migration rate,Population,relative migration,relative migration net,Inmigrants,Inflation,PBI,Female population,Female population aged 20 to 29 years,Female population aged 30 to 39 years,Female population aged 40 to 49 years,Female population aged 50 to 59 years,Female population aged 60 to 69 years,Male population,Male population aged 20 to 29 years,Male population aged 30 to 39 years,Male population aged 40 to 49 years,Male population aged 50 to 59 years,Male population aged 60 to 69 years,Population aged 20 to 29 years,Population aged 30 to 39 years,Population aged 40 to 49 years,Population aged 50 to 59 years,Population aged 60 to 69 years,Returns by origin,Returns by host
57,1995,Ecuador,326230.0,115093.0,-19000.0,-0.35,11561683,0.0282164802477286,-0.0016433593621274,307230.0,22.89 ,2.25254877423716,5768801,1012903,763842,537339,338518,223217,5792885,1029681,763318,528116,329185,205693,2042580,1527162,1065454,667703,428911,276,2
58,2000,Ecuador,446380.0,151523.0,-69999.0,-1.16,12626511,0.0353526005719236,-0.0055438117465703,376381.0,96.09 ,1.0918015643576,6303128,1087528,853008,626698,411094,257172,6323384,1108117,851410,613227,395345,237760,2195644,1704415,1239928,806443,494932,88,2
59,2005,Ecuador,986599.0,189893.0,-120002.0,-1.811,13770015,0.07164836058639,-0.0087147327000006,866597.0,2.41 ,5.29130826699402,6876519,1195007,941771,720017,504048,305884,6893500,1219876,941805,703588,480977,283723,2414884,1883576,1423604,985023,589607,30,2
60,2010,Ecuador,1152897.0,375253.0,-44999.0,-0.624,14989581,0.0769132239253385,-0.003002018535408,1107898.0,3.55 ,3.52529866894027,7490734,1314222,1044660,822449,597744,376501,7498851,1344093,1045471,805009,570169,347558,2658316,2090127,1627457,1167911,724063,37,2
61,2015,Ecuador,1130774.0,387513.0,-38001.0,-0.487,16195904,0.0698185170769103,-0.0023463339866672,1092773.0,3.97 ,0.0988726083462694,8095678,1406637,1171179,921026,693750,466308,8100236,1442568,1174229,906005,663924,429647,2849204,2345404,1827028,1357674,895953,27,7
62,2020,Ecuador,1127891.0,784787.0,182000.0,2.15,17588596,0.0641262668151568,0.0103476138743535,1309891.0,-0.34 ,-7.78760709093422,8798447,1529588,1340858,1044858,802758,557842,8790148,1567548,1350498,1032657,772900,514487,3097139,2691356,2077516,1575662,1072330,9,4
63,1990,El Salvador,1241849.0,47360.0,-256685.0,-10.059,5367182,0.2313782167252759,-0.0478249107259638,985164.0,24.00 ,4.83290057793786,2762440,486110,337655,225295,149701,93116,2604753,462576,287623,183738,126431,74132,948685,625281,409034,276129,167250,90,0
64,1995,El Salvador,933103.0,39537.0,-265152.0,-9.732,5748201,0.1623295705908683,-0.0461278232963669,667951.0,10.03 ,4.73408140229732,2968103,512461,375025,260415,172353,112955,2780095,489778,325383,207105,139572,90664,1002239,700411,467522,311928,203618,79,2
65,2000,El Salvador,949042.0,31713.0,-326853.0,-11.352,5958482,0.1592758021254406,-0.0548550788606896,622189.0,2.27 ,1.12790697674419,3088683,543819,408517,289442,199300,133141,2869810,505613,354945,234578,159674,107539,1049436,763462,524020,358972,240677,29,0
66,2005,El Salvador,1118793.0,36029.0,-312786.0,-10.479,6037817,0.1852976001094435,-0.0518044849653442,806007.0,4.69 ,2.70546347259486,3144481,543095,430184,314145,222844,152329,2893343,484264,360984,251224,180004,122695,1027362,791166,565372,402848,275023,43,2
